,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
163,Hepatitis,Dark colored urine,Nausea,Loss of appetite,Whites of the eyes,Yellowing of the skin,Fatigue,Joint pain,Malaise,Abdominal discomfort,Fever,0,0
164,Hepatitis,Fever,Whites of the eyes,Yellowing of the skin,Malaise,Joint pain,Dark colored urine,Loss of appetite,Abdominal discomfort,Nausea,Fatigue,0,0
165,Hepatitis,Abdominal discomfort,Yellowing of the skin,Whites of the eyes,Dark colored urine,Fatigue,Fever,Loss of appetite,Joint pain,Nausea,Malaise,0,0
166,Hepatitis,Nausea,Abdominal discomfort,Whites of the eyes,Fatigue,Joint pain,Dark colored urine,Yellowing of the skin,Loss of appetite,Fever,Malaise,0,0
167,Hepatitis,Loss of appetite,Nausea,Fatigue,Whites of the eyes,Joint pain,Fever,Abdominal discomfort,Dark colored urine,Malaise,Yellowing of the skin,0,0
168,Hepatitis,Malaise,Dark colored urine,Joint pain,Whites of the eyes,Nausea,Loss of appetite,Yellowing of the skin,Fatigue,Abdominal discomfort,Fever,0,0
169,Hepatitis,Joint pain,Malaise,Fatigue,Fever,Loss of appetite,Dark colored urine,Whites of the eyes,Nausea,Abdominal discomfort,Yellowing of the skin,0,0
170,Hepatitis,Fatigue,Fever,Nausea,Loss of appetite,Yellowing of the skin,Abdominal discomfort,Malaise,Joint pain,Dark colored urine,Whites of the eyes,0,0
171,Hepatitis,Joint pain,Fatigue,Fever,Loss of appetite,Malaise,Abdominal discomfort,Yellowing of the skin,Nausea,Dark colored urine,Whites of the eyes,0,0
172,Hepatitis,Fatigue,Fever,Loss of appetite,Nausea,Dark colored urine,Whites of the eyes,Joint pain,Malaise,Abdominal discomfort,Yellowing of the skin,0,0
173,Hepatitis,Whites of the eyes,Joint pain,Loss of appetite,Nausea,Dark colored urine,Yellowing of the skin,Abdominal discomfort,Fever,Malaise,Fatigue,0,0
174,Hepatitis,Abdominal discomfort,Nausea,Joint pain,Dark colored urine,Malaise,Fever,Fatigue,Loss of appetite,Yellowing of the skin,Whites of the eyes,0,0
175,Hepatitis,Nausea,Fever,Dark colored urine,Malaise,Abdominal discomfort,Joint pain,Fatigue,Whites of the eyes,Loss of appetite,Yellowing of the skin,0,0
176,Hepatitis,Yellowing of the skin,Fever,Fatigue,Loss of appetite,Malaise,Abdominal discomfort,Joint pain,Nausea,Whites of the eyes,Dark colored urine,0,0
177,Hepatitis,Malaise,Fever,Fatigue,Abdominal discomfort,Whites of the eyes,Joint pain,Nausea,Dark colored urine,Yellowing of the skin,Loss of appetite,0,0
178,Hepatitis,Dark colored urine,Malaise,Yellowing of the skin,Loss of appetite,Abdominal discomfort,Joint pain,Whites of the eyes,Nausea,Fever,Fatigue,0,0
179,Hepatitis,Nausea,Joint pain,Loss of appetite,Dark colored urine,Malaise,Whites of the eyes,Fever,Abdominal discomfort,Yellowing of the skin,Fatigue,0,0
180,Hepatitis,Loss of appetite,Nausea,Joint pain,Yellowing of the skin,Whites of the eyes,Malaise,Dark colored urine,Fatigue,Fever,Abdominal discomfort,0,0
181,Hepatitis,Nausea,Fever,Joint pain,Fatigue,Yellowing of the skin,Loss of appetite,Whites of the eyes,Abdominal discomfort,Dark colored urine,Malaise,0,0
182,Hepatitis,Fever,Fatigue,Dark colored urine,Loss of appetite,Abdominal discomfort,Yellowing of the skin,Whites of the eyes,Joint pain,Malaise,Nausea,0,0
183,Hepatitis,Fatigue,Whites of the eyes,Malaise,Nausea,Fever,Joint pain,Yellowing of the skin,Dark colored urine,Abdominal discomfort,Loss of appetite,0,0
184,Hepatitis,Joint pain,Fever,Yellowing of the skin,Malaise,Fatigue,Abdominal discomfort,Nausea,Whites of the eyes,Loss of appetite,Dark colored urine,0,0
185,Hepatitis,Fever,Fatigue,Yellowing of the skin,Nausea,Abdominal discomfort,Whites of the eyes,Joint pain,Loss of appetite,Malaise,Dark colored urine,0,0
186,Hepatitis,Fever,Abdominal discomfort,Nausea,Yellowing of the skin,Joint pain,Loss of appetite,Whites of the eyes,Dark colored urine,Fatigue,Malaise,0,0
187,Hepatitis,Malaise,Whites of the eyes,Yellowing of the skin,Nausea,Joint pain,Abdominal discomfort,Fever,Loss of appetite,Fatigue,Dark colored urine,0,0
188,Hepatitis,Yellowing of the skin,Dark colored urine,Joint pain,Nausea,Loss of appetite,Fatigue,Abdominal discomfort,Whites of the eyes,Malaise,Fever,0,0
189,Hepatitis,Fever,Dark colored urine,Joint pain,Yellowing of the skin,Abdominal discomfort,Loss of appetite,Nausea,Fatigue,Malaise,Whites of the eyes,0,0
190,Hepatitis,Yellowing of the skin,Nausea,Fever,Whites of the eyes,Loss of appetite,Abdominal discomfort,Joint pain,Malaise,Dark colored urine,Fatigue,0,0
191,Hepatitis,Malaise,Fever,Dark colored urine,Nausea,Loss of appetite,Abdominal discomfort,Whites of the eyes,Joint pain,Yellowing of the skin,Fatigue,0,0
192,Hepatitis,Joint pain,Nausea,Yellowing of the skin,Abdominal discomfort,Fever,Fatigue,Whites of the eyes,Malaise,Loss of appetite,Dark colored urine,0,0
193,Hepatitis,Dark colored urine,Nausea,Yellowing of the skin,Whites of the eyes,Joint pain,Malaise,Fever,Fatigue,Loss of appetite,Abdominal discomfort,0,0
194,Hepatitis,Fever,Abdominal discomfort,Nausea,Joint pain,Fatigue,Yellowing of the skin,Dark colored urine,Whites of the eyes,Loss of appetite,Malaise,0,0
195,Hepatitis,Fatigue,Fever,Dark colored urine,Yellowing of the skin,Loss of appetite,Joint pain,Whites of the eyes,Malaise,Nausea,Abdominal discomfort,0,0
196,Hepatitis,Loss of appetite,Nausea,Dark colored urine,Joint pain,Yellowing of the skin,Fatigue,Malaise,Fever,Whites of the eyes,Abdominal discomfort,0,0
197,Hepatitis,Loss of appetite,Whites of the eyes,Malaise,Abdominal discomfort,Joint pain,Yellowing of the skin,Fatigue,Nausea,Fever,Dark colored urine,0,0
198,Hepatitis,Abdominal discomfort,Fever,Fatigue,Dark colored urine,Whites of the eyes,Yellowing of the skin,Malaise,Loss of appetite,Joint pain,Nausea,0,0
199,Hepatitis,Joint pain,Abdominal discomfort,Whites of the eyes,Dark colored urine,Malaise,Fatigue,Yellowing of the skin,Nausea,Fever,Loss of appetite,0,0
200,Liver Failure,Nausea,Vomiting,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Mental difficulties,Loss of appetite,Yellowing of the skin,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Confusion
201,Liver Failure,Mental difficulties,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Confusion,Yellowing of the skin,Loss of appetite,Vomiting,Swelling in the abdomen,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms
202,Liver Failure,Nausea,Mental difficulties,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Vomiting,Swelling in the abdomen,Loss of appetite,Confusion,Swelling in the legs,Severe fatigue,Yellowing of the skin
203,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Swelling in the abdomen,Yellowing of the skin,Loss of appetite,Nausea,Swelling in the legs,Mental difficulties,Vomiting,Tendency to bleed easily,Confusion,Severe fatigue
204,Liver Failure,Yellowing of the skin,Vomiting,Severe fatigue,Swelling in the abdomen,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the legs,Swelling in the arms,Mental difficulties,Tendency to bleed easily,Confusion
205,Liver Failure,Nausea,Severe fatigue,Yellowing of the skin,Swelling in the legs,Loss of appetite,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Confusion,Tendency to bleed easily,Swelling in the arms,Vomiting,Swelling in the abdomen
206,Liver Failure,Tendency to bleed easily,Yellowing of the skin,Confusion,Swelling in the arms,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Vomiting,Severe fatigue,Swelling in the abdomen,Nausea,Mental difficulties,Swelling in the legs
207,Liver Failure,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Severe fatigue,Yellowing of the skin,Nausea,Confusion,Vomiting,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Tendency to bleed easily,Swelling in the legs
208,Liver Failure,Vomiting,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Loss of appetite,Nausea,Swelling in the legs,Yellowing of the skin,Severe fatigue,Confusion,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs
209,Liver Failure,Yellowing of the skin,Confusion,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Vomiting,Swelling in the legs,Mental difficulties,Nausea
210,Liver Failure,Loss of appetite,Vomiting,Mental difficulties,Swelling in the abdomen,Swelling in the legs,Nausea,Confusion,Yellowing of the skin,Tendency to bleed easily,Severe fatigue,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs
211,Liver Failure,Loss of appetite,Yellowing of the skin,Nausea,Severe fatigue,Mental difficulties,Vomiting,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Tendency to bleed easily,Confusion,Swelling in the abdomen
212,Liver Failure,Yellowing of the skin,Loss of appetite,Swelling in the legs,Tendency to bleed easily,Swelling in the abdomen,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the arms,Vomiting,Confusion,Mental difficulties
213,Liver Failure,Vomiting,Swelling in the abdomen,Nausea,Tendency to bleed easily,Loss of appetite,Confusion,Severe fatigue,Mental difficulties,Yellowing of the skin,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms
214,Liver Failure,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Loss of appetite,Confusion,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Nausea,Vomiting
215,Liver Failure,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Nausea,Confusion,Mental difficulties,Yellowing of the skin,Vomiting
216,Liver Failure,Severe fatigue,Swelling in the legs,Mental difficulties,Confusion,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Tendency to bleed easily,Nausea,Swelling in the abdomen,Vomiting
217,Liver Failure,Vomiting,Swelling in the legs,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Severe fatigue,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Confusion,Mental difficulties,Nausea
218,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Swelling in the legs,Swelling in the abdomen,Mental difficulties,Vomiting,Nausea,Tendency to bleed easily,Confusion,Loss of appetite,Yellowing of the skin
219,Liver Failure,Swelling in the abdomen,Mental difficulties,Loss of appetite,Tendency to bleed easily,Yellowing of the skin,Vomiting,Swelling in the arms,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Confusion,Severe fatigue,Nausea
220,Liver Failure,Swelling in the arms,Severe fatigue,Vomiting,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the abdomen,Confusion,Nausea,Loss of appetite,Swelling in the legs,Tendency to bleed easily,Yellowing of the skin
221,Liver Failure,Vomiting,Swelling in the abdomen,Confusion,Mental difficulties,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the arms,Severe fatigue,Swelling in the legs,Nausea,Loss of appetite
222,Liver Failure,Swelling in the legs,Vomiting,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Loss of appetite,Tendency to bleed easily,Severe fatigue,Confusion,Swelling in the abdomen,Nausea,Yellowing of the skin,Mental difficulties
223,Liver Failure,Loss of appetite,Yellowing of the skin,Tendency to bleed easily,Vomiting,Severe fatigue,Confusion,Swelling in the abdomen,Nausea,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the arms,Swelling in the legs
224,Liver Failure,Swelling in the arms,Vomiting,Swelling in the legs,Yellowing of the skin,Nausea,Mental difficulties,Severe fatigue,Swelling in the abdomen,Loss of appetite,Tendency to bleed easily,Confusion,Discomfort on the right side of the abdomen below the ribs
225,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Loss of appetite,Swelling in the arms,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Nausea,Swelling in the abdomen,Confusion,Severe fatigue,Vomiting
226,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Nausea,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Mental difficulties,Swelling in the abdomen,Loss of appetite,Swelling in the arms,Confusion,Yellowing of the skin,Vomiting
227,Liver Failure,Tendency to bleed easily,Nausea,Swelling in the arms,Yellowing of the skin,Confusion,Vomiting,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Mental difficulties,Swelling in the legs
228,Liver Failure,Confusion,Tendency to bleed easily,Yellowing of the skin,Swelling in the legs,Mental difficulties,Vomiting,Swelling in the abdomen,Nausea,Loss of appetite,Swelling in the arms,Severe fatigue,Discomfort on the right side of the abdomen below the ribs
229,Liver Failure,Yellowing of the skin,Loss of appetite,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Severe fatigue,Vomiting,Discomfort on the right side of the abdomen below the ribs,Confusion,Tendency to bleed easily,Nausea,Swelling in the legs
230,Liver Failure,Confusion,Discomfort on the right side of the abdomen below the ribs,Vomiting,Loss of appetite,Yellowing of the skin,Swelling in the abdomen,Nausea,Swelling in the arms,Tendency to bleed easily,Swelling in the legs,Severe fatigue,Mental difficulties
231,Liver Failure,Severe fatigue,Tendency to bleed easily,Vomiting,Swelling in the abdomen,Yellowing of the skin,Swelling in the arms,Mental difficulties,Loss of appetite,Swelling in the legs,Nausea,Confusion,Discomfort on the right side of the abdomen below the ribs
232,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Vomiting,Swelling in the legs,Mental difficulties,Severe fatigue,Loss of appetite,Confusion,Swelling in the abdomen,Nausea,Tendency to bleed easily,Swelling in the arms,Yellowing of the skin
233,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Severe fatigue,Confusion,Tendency to bleed easily,Loss of appetite,Swelling in the arms,Vomiting,Yellowing of the skin,Swelling in the legs,Mental difficulties,Nausea
234,Liver Failure,Swelling in the arms,Yellowing of the skin,Confusion,Nausea,Mental difficulties,Severe fatigue,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Swelling in the abdomen,Tendency to bleed easily,Vomiting
235,Liver Failure,Nausea,Swelling in the legs,Loss of appetite,Vomiting,Yellowing of the skin,Swelling in the abdomen,Mental difficulties,Tendency to bleed easily,Swelling in the arms,Severe fatigue,Confusion,Discomfort on the right side of the abdomen below the ribs
236,Liver Failure,Swelling in the abdomen,Vomiting,Confusion,Tendency to bleed easily,Swelling in the legs,Loss of appetite,Severe fatigue,Yellowing of the skin,Swelling in the arms,Nausea,Mental difficulties,Discomfort on the right side of the abdomen below the ribs
237,Liver Failure,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Yellowing of the skin,Swelling in the abdomen,Loss of appetite,Confusion,Severe fatigue,Mental difficulties
238,Liver Failure,Mental difficulties,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Yellowing of the skin,Swelling in the legs,Nausea,Vomiting,Loss of appetite,Tendency to bleed easily,Swelling in the abdomen,Confusion
239,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Nausea,Swelling in the legs,Severe fatigue,Vomiting,Tendency to bleed easily,Mental difficulties,Confusion,Swelling in the abdomen,Yellowing of the skin,Swelling in the arms
240,Liver Failure,Severe fatigue,Loss of appetite,Confusion,Yellowing of the skin,Swelling in the abdomen,Swelling in the legs,Mental difficulties,Vomiting,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Nausea,Tendency to bleed easily
241,Liver Failure,Yellowing of the skin,Nausea,Tendency to bleed easily,Loss of appetite,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the legs,Severe fatigue,Vomiting,Mental difficulties,Confusion
242,Liver Failure,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the arms,Nausea,Swelling in the abdomen,Loss of appetite,Mental difficulties,Yellowing of the skin,Vomiting,Confusion,Severe fatigue
243,Liver Failure,Vomiting,Mental difficulties,Confusion,Swelling in the legs,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Swelling in the abdomen,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the arms
244,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Swelling in the arms,Tendency to bleed easily,Swelling in the abdomen,Nausea,Yellowing of the skin,Severe fatigue,Vomiting,Swelling in the legs,Confusion,Mental difficulties
245,Liver Failure,Swelling in the arms,Mental difficulties,Confusion,Tendency to bleed easily,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Vomiting,Nausea,Swelling in the abdomen,Loss of appetite,Yellowing of the skin
246,Liver Failure,Loss of appetite,Tendency to bleed easily,Swelling in the arms,Yellowing of the skin,Mental difficulties,Nausea,Discomfort on the right side of the abdomen below the ribs,Confusion,Swelling in the abdomen,Severe fatigue,Swelling in the legs,Vomiting
247,Liver Failure,Vomiting,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Swelling in the arms,Swelling in the legs,Tendency to bleed easily,Severe fatigue,Nausea,Mental difficulties,Confusion,Yellowing of the skin,Swelling in the abdomen
248,Liver Failure,Confusion,Swelling in the abdomen,Swelling in the legs,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea
249,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Nausea,Vomiting,Yellowing of the skin,Swelling in the abdomen,Swelling in the legs,Mental difficulties,Tendency to bleed easily,Loss of appetite,Confusion,Severe fatigue,Swelling in the arms
250,Liver Failure,Vomiting,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Nausea,Tendency to bleed easily,Swelling in the abdomen,Confusion,Mental difficulties,Swelling in the arms,Severe fatigue,Swelling in the legs
251,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Vomiting,Yellowing of the skin,Mental difficulties,Swelling in the legs,Tendency to bleed easily,Loss of appetite,Severe fatigue,Swelling in the abdomen,Confusion,Swelling in the arms,Nausea
252,Liver Failure,Yellowing of the skin,Confusion,Swelling in the abdomen,Tendency to bleed easily,Vomiting,Swelling in the legs,Swelling in the arms,Nausea,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Loss of appetite
253,Liver Failure,Tendency to bleed easily,Mental difficulties,Yellowing of the skin,Vomiting,Loss of appetite,Swelling in the legs,Confusion,Severe fatigue,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the arms
254,Liver Failure,Swelling in the legs,Loss of appetite,Severe fatigue,Yellowing of the skin,Swelling in the abdomen,Tendency to bleed easily,Vomiting,Nausea,Discomfort on the right side of the abdomen below the ribs,Confusion,Mental difficulties,Swelling in the arms
255,Liver Failure,Nausea,Swelling in the arms,Loss of appetite,Yellowing of the skin,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Severe fatigue,Vomiting,Tendency to bleed easily,Mental difficulties,Confusion
256,Liver Failure,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Confusion,Yellowing of the skin,Mental difficulties,Severe fatigue,Swelling in the abdomen,Nausea,Swelling in the legs,Swelling in the arms,Vomiting,Tendency to bleed easily
257,Liver Failure,Tendency to bleed easily,Swelling in the legs,Swelling in the abdomen,Swelling in the arms,Confusion,Yellowing of the skin,Severe fatigue,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties,Nausea
258,Liver Failure,Confusion,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the legs,Swelling in the abdomen,Mental difficulties,Vomiting,Swelling in the arms,Loss of appetite,Yellowing of the skin,Tendency to bleed easily
259,Liver Failure,Confusion,Nausea,Mental difficulties,Yellowing of the skin,Swelling in the abdomen,Vomiting,Severe fatigue,Tendency to bleed easily,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Loss of appetite
260,Liver Failure,Swelling in the arms,Swelling in the abdomen,Severe fatigue,Nausea,Swelling in the legs,Confusion,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Loss of appetite,Vomiting,Mental difficulties,Yellowing of the skin
261,Liver Failure,Loss of appetite,Swelling in the abdomen,Swelling in the legs,Nausea,Swelling in the arms,Mental difficulties,Vomiting,Yellowing of the skin,Confusion,Severe fatigue,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs
262,Liver Failure,Mental difficulties,Swelling in the legs,Confusion,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Vomiting,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Nausea,Yellowing of the skin
263,Liver Failure,Yellowing of the skin,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Mental difficulties,Severe fatigue,Nausea,Confusion,Swelling in the legs,Vomiting,Loss of appetite,Swelling in the arms
264,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Tendency to bleed easily,Confusion,Nausea,Mental difficulties,Yellowing of the skin,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Severe fatigue,Vomiting
265,Liver Failure,Yellowing of the skin,Confusion,Swelling in the arms,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Vomiting,Mental difficulties,Tendency to bleed easily,Swelling in the legs,Severe fatigue,Nausea
266,Liver Failure,Confusion,Loss of appetite,Yellowing of the skin,Tendency to bleed easily,Swelling in the abdomen,Vomiting,Swelling in the arms,Nausea,Mental difficulties,Swelling in the legs,Severe fatigue,Discomfort on the right side of the abdomen below the ribs
267,Liver Failure,Loss of appetite,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Confusion,Swelling in the abdomen,Tendency to bleed easily,Swelling in the arms,Nausea,Mental difficulties,Vomiting,Swelling in the legs
268,Liver Failure,Swelling in the arms,Swelling in the abdomen,Yellowing of the skin,Tendency to bleed easily,Loss of appetite,Vomiting,Swelling in the legs,Confusion,Mental difficulties,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea
269,Liver Failure,Confusion,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Nausea,Loss of appetite,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Vomiting
270,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Confusion,Swelling in the arms,Swelling in the abdomen,Mental difficulties,Severe fatigue,Tendency to bleed easily,Nausea,Swelling in the legs,Yellowing of the skin,Loss of appetite,Vomiting
271,Liver Failure,Loss of appetite,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Mental difficulties,Swelling in the abdomen,Confusion,Severe fatigue,Yellowing of the skin
272,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Confusion,Vomiting,Nausea,Tendency to bleed easily,Swelling in the legs,Swelling in the abdomen,Loss of appetite,Mental difficulties,Yellowing of the skin,Swelling in the arms,Severe fatigue
273,Liver Failure,Swelling in the abdomen,Loss of appetite,Severe fatigue,Mental difficulties,Yellowing of the skin,Swelling in the legs,Tendency to bleed easily,Confusion,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Nausea,Vomiting
274,Liver Failure,Nausea,Swelling in the abdomen,Swelling in the arms,Swelling in the legs,Confusion,Yellowing of the skin,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Vomiting,Tendency to bleed easily,Severe fatigue,Loss of appetite
275,Liver Failure,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Confusion,Mental difficulties,Vomiting,Nausea,Swelling in the arms,Swelling in the legs,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Loss of appetite
276,Liver Failure,Nausea,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Tendency to bleed easily,Swelling in the legs,Vomiting,Loss of appetite,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Confusion
277,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Nausea,Swelling in the abdomen,Mental difficulties,Loss of appetite,Vomiting,Swelling in the legs,Confusion
278,Liver Failure,Swelling in the abdomen,Tendency to bleed easily,Confusion,Severe fatigue,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties,Loss of appetite,Swelling in the arms,Nausea,Swelling in the legs
279,Liver Failure,Tendency to bleed easily,Vomiting,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Nausea,Swelling in the legs,Swelling in the arms,Mental difficulties,Confusion,Loss of appetite,Swelling in the abdomen,Severe fatigue
280,Liver Failure,Nausea,Severe fatigue,Yellowing of the skin,Tendency to bleed easily,Vomiting,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the arms,Swelling in the legs,Confusion
281,Liver Failure,Yellowing of the skin,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Mental difficulties,Swelling in the abdomen,Loss of appetite,Vomiting,Confusion,Swelling in the arms,Severe fatigue,Tendency to bleed easily
282,Liver Failure,Nausea,Loss of appetite,Swelling in the legs,Confusion,Vomiting,Severe fatigue,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the arms,Yellowing of the skin,Tendency to bleed easily
283,Liver Failure,Mental difficulties,Swelling in the arms,Nausea,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Swelling in the abdomen,Tendency to bleed easily,Severe fatigue,Confusion,Loss of appetite,Vomiting
284,Liver Failure,Loss of appetite,Yellowing of the skin,Nausea,Tendency to bleed easily,Swelling in the abdomen,Confusion,Swelling in the arms,Severe fatigue,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties
285,Liver Failure,Tendency to bleed easily,Nausea,Swelling in the abdomen,Loss of appetite,Yellowing of the skin,Swelling in the legs,Vomiting,Confusion,Swelling in the arms,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Severe fatigue
286,Liver Failure,Mental difficulties,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Nausea,Swelling in the arms,Confusion,Vomiting,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Loss of appetite
287,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Loss of appetite,Swelling in the legs,Nausea,Confusion,Swelling in the abdomen,Swelling in the arms,Vomiting
288,Liver Failure,Nausea,Confusion,Tendency to bleed easily,Swelling in the abdomen,Loss of appetite,Swelling in the arms,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Vomiting,Mental difficulties,Severe fatigue
289,Liver Failure,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the legs,Loss of appetite,Confusion,Yellowing of the skin,Severe fatigue,Vomiting,Swelling in the arms,Nausea,Mental difficulties
