Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
Hepatitis,Joint pain,Fatigue,Fever,Loss of appetite,Malaise,Abdominal discomfort,Yellowing of the skin,Nausea,Dark colored urine,Whites of the eyes,,
Hepatitis,Fatigue,Fever,Loss of appetite,Nausea,Dark colored urine,Whites of the eyes,Joint pain,Malaise,Abdominal discomfort,Yellowing of the skin,,
Hepatitis,Whites of the eyes,Joint pain,Loss of appetite,Nausea,Dark colored urine,Yellowing of the skin,Abdominal discomfort,Fever,Malaise,Fatigue,,
Hepatitis,Abdominal discomfort,Nausea,Joint pain,Dark colored urine,Malaise,Fever,Fatigue,Loss of appetite,Yellowing of the skin,Whites of the eyes,,
Hepatitis,Nausea,Fever,Dark colored urine,Malaise,Abdominal discomfort,Joint pain,Fatigue,Whites of the eyes,Loss of appetite,Yellowing of the skin,,
Hepatitis,Yellowing of the skin,Fever,Fatigue,Loss of appetite,Malaise,Abdominal discomfort,Joint pain,Nausea,Whites of the eyes,Dark colored urine,,
Hepatitis,Malaise,Fever,Fatigue,Abdominal discomfort,Whites of the eyes,Joint pain,Nausea,Dark colored urine,Yellowing of the skin,Loss of appetite,,
Hepatitis,Dark colored urine,Malaise,Yellowing of the skin,Loss of appetite,Abdominal discomfort,Joint pain,Whites of the eyes,Nausea,Fever,Fatigue,,
Hepatitis,Nausea,Joint pain,Loss of appetite,Dark colored urine,Malaise,Whites of the eyes,Fever,Abdominal discomfort,Yellowing of the skin,Fatigue,,
Hepatitis,Loss of appetite,Nausea,Joint pain,Yellowing of the skin,Whites of the eyes,Malaise,Dark colored urine,Fatigue,Fever,Abdominal discomfort,,
Hepatitis,Nausea,Fever,Joint pain,Fatigue,Yellowing of the skin,Loss of appetite,Whites of the eyes,Abdominal discomfort,Dark colored urine,Malaise,,
Hepatitis,Fever,Fatigue,Dark colored urine,Loss of appetite,Abdominal discomfort,Yellowing of the skin,Whites of the eyes,Joint pain,Malaise,Nausea,,
Hepatitis,Fatigue,Whites of the eyes,Malaise,Nausea,Fever,Joint pain,Yellowing of the skin,Dark colored urine,Abdominal discomfort,Loss of appetite,,
Hepatitis,Joint pain,Fever,Yellowing of the skin,Malaise,Fatigue,Abdominal discomfort,Nausea,Whites of the eyes,Loss of appetite,Dark colored urine,,
Hepatitis,Fever,Fatigue,Yellowing of the skin,Nausea,Abdominal discomfort,Whites of the eyes,Joint pain,Loss of appetite,Malaise,Dark colored urine,,
Hepatitis,Fever,Abdominal discomfort,Nausea,Yellowing of the skin,Joint pain,Loss of appetite,Whites of the eyes,Dark colored urine,Fatigue,Malaise,,
Hepatitis,Malaise,Whites of the eyes,Yellowing of the skin,Nausea,Joint pain,Abdominal discomfort,Fever,Loss of appetite,Fatigue,Dark colored urine,,
Hepatitis,Yellowing of the skin,Dark colored urine,Joint pain,Nausea,Loss of appetite,Fatigue,Abdominal discomfort,Whites of the eyes,Malaise,Fever,,
Hepatitis,Fever,Dark colored urine,Joint pain,Yellowing of the skin,Abdominal discomfort,Loss of appetite,Nausea,Fatigue,Malaise,Whites of the eyes,,
Hepatitis,Yellowing of the skin,Nausea,Fever,Whites of the eyes,Loss of appetite,Abdominal discomfort,Joint pain,Malaise,Dark colored urine,Fatigue,,
Hepatitis,Malaise,Fever,Dark colored urine,Nausea,Loss of appetite,Abdominal discomfort,Whites of the eyes,Joint pain,Yellowing of the skin,Fatigue,,
Hepatitis,Joint pain,Nausea,Yellowing of the skin,Abdominal discomfort,Fever,Fatigue,Whites of the eyes,Malaise,Loss of appetite,Dark colored urine,,
Hepatitis,Dark colored urine,Nausea,Yellowing of the skin,Whites of the eyes,Joint pain,Malaise,Fever,Fatigue,Loss of appetite,Abdominal discomfort,,
Hepatitis,Fever,Abdominal discomfort,Nausea,Joint pain,Fatigue,Yellowing of the skin,Dark colored urine,Whites of the eyes,Loss of appetite,Malaise,,
Hepatitis,Fatigue,Fever,Dark colored urine,Yellowing of the skin,Loss of appetite,Joint pain,Whites of the eyes,Malaise,Nausea,Abdominal discomfort,,
Hepatitis,Loss of appetite,Nausea,Dark colored urine,Joint pain,Yellowing of the skin,Fatigue,Malaise,Fever,Whites of the eyes,Abdominal discomfort,,
Hepatitis,Loss of appetite,Whites of the eyes,Malaise,Abdominal discomfort,Joint pain,Yellowing of the skin,Fatigue,Nausea,Fever,Dark colored urine,,
Hepatitis,Abdominal discomfort,Fever,Fatigue,Dark colored urine,Whites of the eyes,Yellowing of the skin,Malaise,Loss of appetite,Joint pain,Nausea,,
Hepatitis,Joint pain,Abdominal discomfort,Whites of the eyes,Dark colored urine,Malaise,Fatigue,Yellowing of the skin,Nausea,Fever,Loss of appetite,,
Liver Failure,Nausea,Vomiting,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Mental difficulties,Loss of appetite,Yellowing of the skin,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Confusion
Liver Failure,Mental difficulties,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Confusion,Yellowing of the skin,Loss of appetite,Vomiting,Swelling in the abdomen,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms
Liver Failure,Nausea,Mental difficulties,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Vomiting,Swelling in the abdomen,Loss of appetite,Confusion,Swelling in the legs,Severe fatigue,Yellowing of the skin
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Swelling in the abdomen,Yellowing of the skin,Loss of appetite,Nausea,Swelling in the legs,Mental difficulties,Vomiting,Tendency to bleed easily,Confusion,Severe fatigue
Liver Failure,Yellowing of the skin,Vomiting,Severe fatigue,Swelling in the abdomen,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the legs,Swelling in the arms,Mental difficulties,Tendency to bleed easily,Confusion
Liver Failure,Nausea,Severe fatigue,Yellowing of the skin,Swelling in the legs,Loss of appetite,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Confusion,Tendency to bleed easily,Swelling in the arms,Vomiting,Swelling in the abdomen
Liver Failure,Tendency to bleed easily,Yellowing of the skin,Confusion,Swelling in the arms,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Vomiting,Severe fatigue,Swelling in the abdomen,Nausea,Mental difficulties,Swelling in the legs
Liver Failure,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Severe fatigue,Yellowing of the skin,Nausea,Confusion,Vomiting,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Tendency to bleed easily,Swelling in the legs
Liver Failure,Vomiting,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Loss of appetite,Nausea,Swelling in the legs,Yellowing of the skin,Severe fatigue,Confusion,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Yellowing of the skin,Confusion,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Vomiting,Swelling in the legs,Mental difficulties,Nausea
Liver Failure,Loss of appetite,Vomiting,Mental difficulties,Swelling in the abdomen,Swelling in the legs,Nausea,Confusion,Yellowing of the skin,Tendency to bleed easily,Severe fatigue,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Loss of appetite,Yellowing of the skin,Nausea,Severe fatigue,Mental difficulties,Vomiting,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Tendency to bleed easily,Confusion,Swelling in the abdomen
Liver Failure,Yellowing of the skin,Loss of appetite,Swelling in the legs,Tendency to bleed easily,Swelling in the abdomen,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the arms,Vomiting,Confusion,Mental difficulties
Liver Failure,Vomiting,Swelling in the abdomen,Nausea,Tendency to bleed easily,Loss of appetite,Confusion,Severe fatigue,Mental difficulties,Yellowing of the skin,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms
Liver Failure,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Loss of appetite,Confusion,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Nausea,Vomiting
Liver Failure,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Nausea,Confusion,Mental difficulties,Yellowing of the skin,Vomiting
Liver Failure,Severe fatigue,Swelling in the legs,Mental difficulties,Confusion,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Tendency to bleed easily,Nausea,Swelling in the abdomen,Vomiting
Liver Failure,Vomiting,Swelling in the legs,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Severe fatigue,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Confusion,Mental difficulties,Nausea
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Swelling in the legs,Swelling in the abdomen,Mental difficulties,Vomiting,Nausea,Tendency to bleed easily,Confusion,Loss of appetite,Yellowing of the skin
Liver Failure,Swelling in the abdomen,Mental difficulties,Loss of appetite,Tendency to bleed easily,Yellowing of the skin,Vomiting,Swelling in the arms,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Confusion,Severe fatigue,Nausea
Liver Failure,Swelling in the arms,Severe fatigue,Vomiting,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the abdomen,Confusion,Nausea,Loss of appetite,Swelling in the legs,Tendency to bleed easily,Yellowing of the skin
Liver Failure,Vomiting,Swelling in the abdomen,Confusion,Mental difficulties,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the arms,Severe fatigue,Swelling in the legs,Nausea,Loss of appetite
Liver Failure,Swelling in the legs,Vomiting,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Loss of appetite,Tendency to bleed easily,Severe fatigue,Confusion,Swelling in the abdomen,Nausea,Yellowing of the skin,Mental difficulties
Liver Failure,Loss of appetite,Yellowing of the skin,Tendency to bleed easily,Vomiting,Severe fatigue,Confusion,Swelling in the abdomen,Nausea,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the arms,Swelling in the legs
Liver Failure,Swelling in the arms,Vomiting,Swelling in the legs,Yellowing of the skin,Nausea,Mental difficulties,Severe fatigue,Swelling in the abdomen,Loss of appetite,Tendency to bleed easily,Confusion,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Loss of appetite,Swelling in the arms,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Nausea,Swelling in the abdomen,Confusion,Severe fatigue,Vomiting
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Nausea,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Mental difficulties,Swelling in the abdomen,Loss of appetite,Swelling in the arms,Confusion,Yellowing of the skin,Vomiting
Liver Failure,Tendency to bleed easily,Nausea,Swelling in the arms,Yellowing of the skin,Confusion,Vomiting,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Mental difficulties,Swelling in the legs
Liver Failure,Confusion,Tendency to bleed easily,Yellowing of the skin,Swelling in the legs,Mental difficulties,Vomiting,Swelling in the abdomen,Nausea,Loss of appetite,Swelling in the arms,Severe fatigue,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Yellowing of the skin,Loss of appetite,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Severe fatigue,Vomiting,Discomfort on the right side of the abdomen below the ribs,Confusion,Tendency to bleed easily,Nausea,Swelling in the legs
Liver Failure,Confusion,Discomfort on the right side of the abdomen below the ribs,Vomiting,Loss of appetite,Yellowing of the skin,Swelling in the abdomen,Nausea,Swelling in the arms,Tendency to bleed easily,Swelling in the legs,Severe fatigue,Mental difficulties
Liver Failure,Severe fatigue,Tendency to bleed easily,Vomiting,Swelling in the abdomen,Yellowing of the skin,Swelling in the arms,Mental difficulties,Loss of appetite,Swelling in the legs,Nausea,Confusion,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Vomiting,Swelling in the legs,Mental difficulties,Severe fatigue,Loss of appetite,Confusion,Swelling in the abdomen,Nausea,Tendency to bleed easily,Swelling in the arms,Yellowing of the skin
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Severe fatigue,Confusion,Tendency to bleed easily,Loss of appetite,Swelling in the arms,Vomiting,Yellowing of the skin,Swelling in the legs,Mental difficulties,Nausea
Liver Failure,Swelling in the arms,Yellowing of the skin,Confusion,Nausea,Mental difficulties,Severe fatigue,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Swelling in the abdomen,Tendency to bleed easily,Vomiting
Liver Failure,Nausea,Swelling in the legs,Loss of appetite,Vomiting,Yellowing of the skin,Swelling in the abdomen,Mental difficulties,Tendency to bleed easily,Swelling in the arms,Severe fatigue,Confusion,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Swelling in the abdomen,Vomiting,Confusion,Tendency to bleed easily,Swelling in the legs,Loss of appetite,Severe fatigue,Yellowing of the skin,Swelling in the arms,Nausea,Mental difficulties,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Yellowing of the skin,Swelling in the abdomen,Loss of appetite,Confusion,Severe fatigue,Mental difficulties
Liver Failure,Mental difficulties,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Yellowing of the skin,Swelling in the legs,Nausea,Vomiting,Loss of appetite,Tendency to bleed easily,Swelling in the abdomen,Confusion
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Nausea,Swelling in the legs,Severe fatigue,Vomiting,Tendency to bleed easily,Mental difficulties,Confusion,Swelling in the abdomen,Yellowing of the skin,Swelling in the arms
Liver Failure,Severe fatigue,Loss of appetite,Confusion,Yellowing of the skin,Swelling in the abdomen,Swelling in the legs,Mental difficulties,Vomiting,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Nausea,Tendency to bleed easily
Liver Failure,Yellowing of the skin,Nausea,Tendency to bleed easily,Loss of appetite,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the legs,Severe fatigue,Vomiting,Mental difficulties,Confusion
Liver Failure,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the arms,Nausea,Swelling in the abdomen,Loss of appetite,Mental difficulties,Yellowing of the skin,Vomiting,Confusion,Severe fatigue
Liver Failure,Vomiting,Mental difficulties,Confusion,Swelling in the legs,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Swelling in the abdomen,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the arms
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Swelling in the arms,Tendency to bleed easily,Swelling in the abdomen,Nausea,Yellowing of the skin,Severe fatigue,Vomiting,Swelling in the legs,Confusion,Mental difficulties
Liver Failure,Swelling in the arms,Mental difficulties,Confusion,Tendency to bleed easily,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Vomiting,Nausea,Swelling in the abdomen,Loss of appetite,Yellowing of the skin
Liver Failure,Loss of appetite,Tendency to bleed easily,Swelling in the arms,Yellowing of the skin,Mental difficulties,Nausea,Discomfort on the right side of the abdomen below the ribs,Confusion,Swelling in the abdomen,Severe fatigue,Swelling in the legs,Vomiting
Liver Failure,Vomiting,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Swelling in the arms,Swelling in the legs,Tendency to bleed easily,Severe fatigue,Nausea,Mental difficulties,Confusion,Yellowing of the skin,Swelling in the abdomen
Liver Failure,Confusion,Swelling in the abdomen,Swelling in the legs,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Mental difficulties,Yellowing of the skin,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Nausea,Vomiting,Yellowing of the skin,Swelling in the abdomen,Swelling in the legs,Mental difficulties,Tendency to bleed easily,Loss of appetite,Confusion,Severe fatigue,Swelling in the arms
Liver Failure,Vomiting,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Nausea,Tendency to bleed easily,Swelling in the abdomen,Confusion,Mental difficulties,Swelling in the arms,Severe fatigue,Swelling in the legs
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Vomiting,Yellowing of the skin,Mental difficulties,Swelling in the legs,Tendency to bleed easily,Loss of appetite,Severe fatigue,Swelling in the abdomen,Confusion,Swelling in the arms,Nausea
Liver Failure,Yellowing of the skin,Confusion,Swelling in the abdomen,Tendency to bleed easily,Vomiting,Swelling in the legs,Swelling in the arms,Nausea,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Loss of appetite
Liver Failure,Tendency to bleed easily,Mental difficulties,Yellowing of the skin,Vomiting,Loss of appetite,Swelling in the legs,Confusion,Severe fatigue,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the arms
Liver Failure,Swelling in the legs,Loss of appetite,Severe fatigue,Yellowing of the skin,Swelling in the abdomen,Tendency to bleed easily,Vomiting,Nausea,Discomfort on the right side of the abdomen below the ribs,Confusion,Mental difficulties,Swelling in the arms
Liver Failure,Nausea,Swelling in the arms,Loss of appetite,Yellowing of the skin,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Severe fatigue,Vomiting,Tendency to bleed easily,Mental difficulties,Confusion
Liver Failure,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Confusion,Yellowing of the skin,Mental difficulties,Severe fatigue,Swelling in the abdomen,Nausea,Swelling in the legs,Swelling in the arms,Vomiting,Tendency to bleed easily
Liver Failure,Tendency to bleed easily,Swelling in the legs,Swelling in the abdomen,Swelling in the arms,Confusion,Yellowing of the skin,Severe fatigue,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties,Nausea
Liver Failure,Confusion,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea,Swelling in the legs,Swelling in the abdomen,Mental difficulties,Vomiting,Swelling in the arms,Loss of appetite,Yellowing of the skin,Tendency to bleed easily
Liver Failure,Confusion,Nausea,Mental difficulties,Yellowing of the skin,Swelling in the abdomen,Vomiting,Severe fatigue,Tendency to bleed easily,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Loss of appetite
Liver Failure,Swelling in the arms,Swelling in the abdomen,Severe fatigue,Nausea,Swelling in the legs,Confusion,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Loss of appetite,Vomiting,Mental difficulties,Yellowing of the skin
Liver Failure,Loss of appetite,Swelling in the abdomen,Swelling in the legs,Nausea,Swelling in the arms,Mental difficulties,Vomiting,Yellowing of the skin,Confusion,Severe fatigue,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Mental difficulties,Swelling in the legs,Confusion,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Vomiting,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Nausea,Yellowing of the skin
Liver Failure,Yellowing of the skin,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Mental difficulties,Severe fatigue,Nausea,Confusion,Swelling in the legs,Vomiting,Loss of appetite,Swelling in the arms
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Tendency to bleed easily,Confusion,Nausea,Mental difficulties,Yellowing of the skin,Swelling in the arms,Swelling in the abdomen,Loss of appetite,Severe fatigue,Vomiting
Liver Failure,Yellowing of the skin,Confusion,Swelling in the arms,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Vomiting,Mental difficulties,Tendency to bleed easily,Swelling in the legs,Severe fatigue,Nausea
Liver Failure,Confusion,Loss of appetite,Yellowing of the skin,Tendency to bleed easily,Swelling in the abdomen,Vomiting,Swelling in the arms,Nausea,Mental difficulties,Swelling in the legs,Severe fatigue,Discomfort on the right side of the abdomen below the ribs
Liver Failure,Loss of appetite,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Confusion,Swelling in the abdomen,Tendency to bleed easily,Swelling in the arms,Nausea,Mental difficulties,Vomiting,Swelling in the legs
Liver Failure,Swelling in the arms,Swelling in the abdomen,Yellowing of the skin,Tendency to bleed easily,Loss of appetite,Vomiting,Swelling in the legs,Confusion,Mental difficulties,Severe fatigue,Discomfort on the right side of the abdomen below the ribs,Nausea
Liver Failure,Confusion,Swelling in the abdomen,Mental difficulties,Swelling in the arms,Nausea,Loss of appetite,Severe fatigue,Swelling in the legs,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Vomiting
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Confusion,Swelling in the arms,Swelling in the abdomen,Mental difficulties,Severe fatigue,Tendency to bleed easily,Nausea,Swelling in the legs,Yellowing of the skin,Loss of appetite,Vomiting
Liver Failure,Loss of appetite,Tendency to bleed easily,Vomiting,Swelling in the arms,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Mental difficulties,Swelling in the abdomen,Confusion,Severe fatigue,Yellowing of the skin
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Confusion,Vomiting,Nausea,Tendency to bleed easily,Swelling in the legs,Swelling in the abdomen,Loss of appetite,Mental difficulties,Yellowing of the skin,Swelling in the arms,Severe fatigue
Liver Failure,Swelling in the abdomen,Loss of appetite,Severe fatigue,Mental difficulties,Yellowing of the skin,Swelling in the legs,Tendency to bleed easily,Confusion,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Nausea,Vomiting
Liver Failure,Nausea,Swelling in the abdomen,Swelling in the arms,Swelling in the legs,Confusion,Yellowing of the skin,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Vomiting,Tendency to bleed easily,Severe fatigue,Loss of appetite
Liver Failure,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Confusion,Mental difficulties,Vomiting,Nausea,Swelling in the arms,Swelling in the legs,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Loss of appetite
Liver Failure,Nausea,Swelling in the arms,Severe fatigue,Swelling in the abdomen,Tendency to bleed easily,Swelling in the legs,Vomiting,Loss of appetite,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Confusion
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Swelling in the arms,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Nausea,Swelling in the abdomen,Mental difficulties,Loss of appetite,Vomiting,Swelling in the legs,Confusion
Liver Failure,Swelling in the abdomen,Tendency to bleed easily,Confusion,Severe fatigue,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties,Loss of appetite,Swelling in the arms,Nausea,Swelling in the legs
Liver Failure,Tendency to bleed easily,Vomiting,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Nausea,Swelling in the legs,Swelling in the arms,Mental difficulties,Confusion,Loss of appetite,Swelling in the abdomen,Severe fatigue
Liver Failure,Nausea,Severe fatigue,Yellowing of the skin,Tendency to bleed easily,Vomiting,Loss of appetite,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Swelling in the arms,Swelling in the legs,Confusion
Liver Failure,Yellowing of the skin,Nausea,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Mental difficulties,Swelling in the abdomen,Loss of appetite,Vomiting,Confusion,Swelling in the arms,Severe fatigue,Tendency to bleed easily
Liver Failure,Nausea,Loss of appetite,Swelling in the legs,Confusion,Vomiting,Severe fatigue,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Swelling in the abdomen,Swelling in the arms,Yellowing of the skin,Tendency to bleed easily
Liver Failure,Mental difficulties,Swelling in the arms,Nausea,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Swelling in the abdomen,Tendency to bleed easily,Severe fatigue,Confusion,Loss of appetite,Vomiting
Liver Failure,Loss of appetite,Yellowing of the skin,Nausea,Tendency to bleed easily,Swelling in the abdomen,Confusion,Swelling in the arms,Severe fatigue,Swelling in the legs,Discomfort on the right side of the abdomen below the ribs,Vomiting,Mental difficulties
Liver Failure,Tendency to bleed easily,Nausea,Swelling in the abdomen,Loss of appetite,Yellowing of the skin,Swelling in the legs,Vomiting,Confusion,Swelling in the arms,Mental difficulties,Discomfort on the right side of the abdomen below the ribs,Severe fatigue
Liver Failure,Mental difficulties,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Nausea,Swelling in the arms,Confusion,Vomiting,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Loss of appetite
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Severe fatigue,Tendency to bleed easily,Yellowing of the skin,Loss of appetite,Swelling in the legs,Nausea,Confusion,Swelling in the abdomen,Swelling in the arms,Vomiting
Liver Failure,Nausea,Confusion,Tendency to bleed easily,Swelling in the abdomen,Loss of appetite,Swelling in the arms,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs,Swelling in the legs,Vomiting,Mental difficulties,Severe fatigue
Liver Failure,Swelling in the abdomen,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily,Swelling in the legs,Loss of appetite,Confusion,Yellowing of the skin,Severe fatigue,Vomiting,Swelling in the arms,Nausea,Mental difficulties
Liver Failure,Severe fatigue,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Vomiting,Loss of appetite,Mental difficulties,Nausea,Swelling in the abdomen,Swelling in the legs,Tendency to bleed easily,Confusion
Liver Failure,Swelling in the legs,Swelling in the abdomen,Swelling in the arms,Vomiting,Nausea,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Severe fatigue,Tendency to bleed easily,Confusion,Yellowing of the skin,Mental difficulties
Liver Failure,Mental difficulties,Nausea,Severe fatigue,Swelling in the legs,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Confusion,Yellowing of the skin,Vomiting,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily
Liver Failure,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Confusion,Nausea,Yellowing of the skin,Vomiting,Loss of appetite,Swelling in the legs,Swelling in the arms
Liver Failure,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Vomiting,Loss of appetite,Swelling in the arms,Tendency to bleed easily,Swelling in the legs,Yellowing of the skin,Mental difficulties,Confusion,Swelling in the abdomen,Nausea
Liver Failure,Swelling in the arms,Mental difficulties,Confusion,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Tendency to bleed easily,Vomiting,Swelling in the legs,Swelling in the abdomen,Severe fatigue,Nausea
Liver Failure,Severe fatigue,Yellowing of the skin,Tendency to bleed easily,Swelling in the legs,Nausea,Loss of appetite,Confusion,Swelling in the abdomen,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Vomiting
Liver Failure,Swelling in the abdomen,Swelling in the legs,Severe fatigue,Confusion,Mental difficulties,Swelling in the arms,Nausea,Loss of appetite,Vomiting,Tendency to bleed easily,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs
